FEATURE CARRIED,CONDITION RATING,VERBAL RATING
PARKSIDE AVE - OCEAN AVE,4.043,FAIR
CROOKE AVE,4.316,FAIR
CATON AVE,4.842,FAIR
E 18TH ST - CHURCH AVE,4.545,FAIR
BEVERLY ROAD,4.088,FAIR
CORTELYOU ROAD,6.083,VGOOD
DORCHESTER ROAD,5.863,GOOD
DITMAS AVE,5.723,GOOD
NEWKIRK AVE,4.574,FAIR
FOSTER AVE,4.283,FAIR
STERLING PLACE,6.375,VGOOD
ST JOHNS PLACE,6.656,VGOOD
LINCOLN PLACE,6.672,VGOOD
UNION ST,4.913,FAIR
PRESIDENT ST,5.078,GOOD
CARROLL ST PED BRDG,5.324,GOOD
CROWN ST,5.069,GOOD
MONTGOMERY ST,5.843,GOOD
WASHINGTON AVE,6.000,GOOD
FLATBUSH AVE,4.961,FAIR
EASTERN PKWY,4.833,FAIR
6TH AVE,5.431,GOOD
CARLTON AVE,6.694,VGOOD
2ND AVE,6.208,VGOOD
3RD AVE,4.972,FAIR
4TH AVE,5.486,GOOD
15TH AVE,4.872,FAIR
60TH ST,6.000,GOOD
16TH AVE,5.350,GOOD
17TH AVE,4.745,FAIR
18TH AVE,4.625,FAIR
52ND ST,6.017,VGOOD
50TH ST,4.731,FAIR
MCDONALD AVE,5.141,GOOD
E 3RD ST,6.517,VGOOD
OCEAN PKWY,4.927,FAIR
CONEY ISLAND AVE,5.043,GOOD
E 14TH ST,4.809,FAIR
E 15TH ST PED BRDG,5.592,GOOD
OCEAN AVE,4.965,FAIR
BEDFORD AVE,5.097,GOOD
NOSTRAND AVE,4.898,FAIR
FLATBUSH AVE,4.651,FAIR
BROOKLYN AVE,5.727,GOOD
ALBANY AVE - AVE H,5.956,GOOD
ATLANTIC AVE,3.620,FAIR
86TH ST,5.797,GOOD
5TH AVE,3.882,FAIR
6TH AVE,6.056,VGOOD
7TH AVE,4.806,FAIR
8TH AVE,6.097,VGOOD
FORT HAMILTON PKWY,4.729,FAIR
11TH AVE,5.985,GOOD
13TH AVE,4.972,FAIR
14TH AVE,6.167,VGOOD
NEW UTRECHT AVE,5.883,GOOD
15TH AVE,6.114,VGOOD
16TH AVE,5.481,GOOD
17TH AVE,6.173,VGOOD
18TH AVE,6.421,VGOOD
19TH AVE,4.237,FAIR
20TH AVE,6.421,VGOOD
65TH ST,5.132,GOOD
BAY PKWY,4.658,FAIR
AVENUE O,5.706,GOOD
AVENUE P,6.140,VGOOD
